,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm artist id,spotify followers-jan 5,spotify followers-dec 6,Max Weekly Velocity
1681,82,2020-06-28T00:00:00.000Z,The Sharkboy Beat,Ricky Desktop,QZES92025420,-6.857142857142861,29602162.0,49,['2020-05-12T00:00:00.000Z'],3667592.0,106.0,41487.0,2.28571428571429
1682,83,2020-06-28T00:00:00.000Z,Run free,Deep Chills,NLYK91700007,-1.28571428571429,13646389.0,159,['2017-08-18T00:00:00.000Z'],71652.0,33714.0,44563.0,4.57142857142857
1683,84,2020-06-28T00:00:00.000Z,One Call Away,Charlie Puth,USAT21502703,,15090520.0,133,"['2016-03-18T00:00:00.000Z', '2017-01-23T00:00:00.000Z', '2016-11-11T00:00:00.000Z', '2016-11-11T00:00:00.000Z', '2015-11-05T00:00:00.000Z', '2015-11-05T00:00:00.000Z', '2016-01-29T00:00:00.000Z', '2015-08-21T00:00:00.000Z', '2016-01-29T00:00:00.000Z', '2020-12-19T00:00:00.000Z']",4752.0,8987227.0,11857083.0,0.14285714285714302
1685,86,2020-06-28T00:00:00.000Z,Falling,Trevor Daniel,USUYG1221109,,20659476.0,106,"['2018-10-05T00:00:00.000Z', '2018-10-11T00:00:00.000Z', '2020-02-14T00:00:00.000Z', '2020-02-28T00:00:00.000Z', '2020-03-06T00:00:00.000Z', '2020-03-13T00:00:00.000Z', '2018-10-05T00:00:00.000Z', '2020-03-26T00:00:00.000Z', '2020-03-26T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-07-15T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-22T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-10-27T00:00:00.000Z', '2020-11-18T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-12-03T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-21T00:00:00.000Z']",720461.0,120973.0,518208.0,20.1428571428571
1686,87,2020-06-28T00:00:00.000Z,Laxed - Siren Beat,Jawsh 685,NZAM02001128,-6.571428571428571,29203381.0,67,['2020-04-24T00:00:00.000Z'],3654834.0,45.0,58011.0,7.0
1687,88,2020-06-28T00:00:00.000Z,Say So,Doja Cat,USRC11903454,,26951096.0,117,"['2019-11-07T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-14T00:00:00.000Z', '2020-09-17T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-11T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-17T00:00:00.000Z']",217671.0,779315.0,4337663.0,15.285714285714299
1688,89,2020-06-28T00:00:00.000Z,Bass Da Da Da,Shou,QZFZ72019858,10.7142857142857,28795552.0,90,['2020-03-13T00:00:00.000Z'],,,,10.7142857142857
1691,92,2020-06-28T00:00:00.000Z,Happy Birthday,Vitamin A,US3DF1612162,2.14285714285714,29101133.0,119,['2016-04-20T00:00:00.000Z'],231648.0,1822.0,2091.0,3.4285714285714306
1692,93,2020-06-28T00:00:00.000Z,Pooranviram,Akki Aryan,INT502001067,3.5714285714285694,28777361.0,80,['2020-02-03T00:00:00.000Z'],3816516.0,177.0,391.0,3.5714285714285694
1694,95,2020-06-28T00:00:00.000Z,Pretty Girl (Cheat Codes X Cade Remix),Cheat Codes,QMCE31701175,,13842155.0,98,['2017-03-02T00:00:00.000Z'],206343.0,1448794.0,1743926.0,
1695,96,2020-06-28T00:00:00.000Z,Boys,Charli XCX,GBAHS1700564,,12450159.0,137,"['2017-07-26T00:00:00.000Z', '2019-12-27T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-01T00:00:00.000Z', '2020-07-01T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-08-25T00:00:00.000Z', '2020-08-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z']",3624.0,1902868.0,2161248.0,0.7142857142857142
1700,1,2020-07-05T00:00:00.000Z,Kolors,Monte Booker & Smino,QM24S1650080,,13755632.0,80,['2016-06-29T00:00:00.000Z'],,,,0.0
1701,2,2020-07-05T00:00:00.000Z,Coño (feat. Jhorrmountain x Adje),Puri,NLZ541800787,-0.14285714285714302,20146009.0,190,"['2018-07-06T00:00:00.000Z', '2018-07-06T00:00:00.000Z', '2017-01-01T00:00:00.000Z']",240524.0,12027.0,17836.0,34.0
1702,3,2020-07-05T00:00:00.000Z,Dream Girl,Ir Sais ,TCADG1788520,-0.14285714285714302,16928605.0,126,"['2017-09-27T00:00:00.000Z', '2019-05-17T00:00:00.000Z']",,,,1.28571428571429
1703,4,2020-07-05T00:00:00.000Z,Laxed - Siren Beat,Jawsh 685,NZAM02001128,0.0,29203381.0,121,['2020-04-24T00:00:00.000Z'],3654834.0,45.0,58011.0,7.0
1704,5,2020-07-05T00:00:00.000Z,Party Girl,StaySolidRocky,USSM12002247,0.28571428571428603,29155495.0,86,"['2020-04-21T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-15T00:00:00.000Z']",3647326.0,1723.0,124267.0,9.14285714285714
1705,6,2020-07-05T00:00:00.000Z,Banana (feat. Shaggy) [DJ FLe - Minisiren Remix],Conkarah ,QMRSZ1901446,-0.42857142857142894,24879479.0,138,"['2019-08-16T00:00:00.000Z', '2020-05-15T00:00:00.000Z']",,,,7.428571428571429
1706,7,2020-07-05T00:00:00.000Z,Hood Baby,Kbfr,QZDA62007962,0.14285714285714302,29275689.0,66,"['2020-04-03T00:00:00.000Z', '2020-04-03T00:00:00.000Z']",1629644.0,3448.0,32463.0,22.857142857142897
1707,8,2020-07-05T00:00:00.000Z,What If (I Told You I Like You),johnny orlando,CAGFE1800001,0.28571428571428603,19251938.0,183,"['2018-06-15T00:00:00.000Z', '2018-05-18T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2018-05-18T00:00:00.000Z', '2020-07-01T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-17T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-09-08T00:00:00.000Z', '2020-09-23T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-14T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-09T00:00:00.000Z', '2020-11-16T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z']",214276.0,407104.0,541624.0,6.857142857142861
1708,9,2020-07-05T00:00:00.000Z,HAHA,lil darkie,QM42K1976980,-0.5714285714285711,26235905.0,70,['2019-10-12T00:00:00.000Z'],1450494.0,14058.0,243748.0,1.57142857142857
1710,11,2020-07-05T00:00:00.000Z,Then Leave,BeatKing,QZDA42016561,0.14285714285714302,28861336.0,22,['2020-03-27T00:00:00.000Z'],200869.0,14309.0,25279.0,2.0
1711,12,2020-07-05T00:00:00.000Z,Savage,Megan Thee Stallion,QMCE32000097,-0.14285714285714302,28677612.0,113,['2020-03-06T00:00:00.000Z'],788785.0,630260.0,2628012.0,53.571428571428605
1712,13,2020-07-05T00:00:00.000Z,ROCKSTAR,Dababy,USUM72007941,-0.5714285714285711,29099003.0,113,"['2020-04-17T00:00:00.000Z', '2020-04-17T00:00:00.000Z', '2020-08-04T00:00:00.000Z', '2020-08-04T00:00:00.000Z', '2020-08-10T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-23T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-14T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-25T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-09T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-25T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-12-03T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-21T00:00:00.000Z']",398544.0,1693894.0,4997734.0,7.28571428571429
1713,14,2020-07-05T00:00:00.000Z,Be Happy,dixie 🤍,US3DF2007996,,29915506.0,58,"['2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z']",,,,1.28571428571429
1714,15,2020-07-05T00:00:00.000Z,The Boat Beat,Ricky Desktop,QZES92025420,-0.28571428571428603,29602162.0,84,['2020-05-12T00:00:00.000Z'],3667592.0,106.0,41487.0,1.0
1715,16,2020-07-05T00:00:00.000Z,Relación,SechMusic,QM9WM2000013,-0.28571428571428603,28884520.0,98,"['2020-04-02T00:00:00.000Z', '2020-05-21T00:00:00.000Z']",,,,3.28571428571429
1716,17,2020-07-05T00:00:00.000Z,How You Like That,blackpinkofficial,KRA402000111,,29924495.0,158,"['2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z']",,,,2.0
1717,18,2020-07-05T00:00:00.000Z,Savage Love (Laxed - Siren Beat),Jason Derulo,USSM12003798,-0.14285714285714302,29751924.0,162,"['2020-06-11T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-17T00:00:00.000Z']",3502.0,7277902.0,8505472.0,13.857142857142902
1719,20,2020-07-05T00:00:00.000Z,Go Go Go Who's Next?,Hip Hop Harry,QZHN52064514,-0.14285714285714302,29701276.0,60,['2020-06-04T00:00:00.000Z'],573585.0,671.0,2344.0,4.42857142857143
1720,21,2020-07-05T00:00:00.000Z,TKN,La Rosalia,USSM12001261,24.428571428571402,29592223.0,89,['2020-05-28T00:00:00.000Z'],,,,24.428571428571402
1721,22,2020-07-05T00:00:00.000Z,ЧЁРНЫЙ БУМЕР,SERYOGA,FRX201753135,4.71428571428571,18240876.0,54,[None],6566.0,11172.0,21479.0,4.71428571428571
1722,23,2020-07-05T00:00:00.000Z,Savage Love (Laxed - Siren Beat),Jason Derulo,USSM12003798,3.4285714285714306,29751924.0,75,"['2020-06-11T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-17T00:00:00.000Z']",3502.0,7277902.0,8505472.0,13.857142857142902
1723,24,2020-07-05T00:00:00.000Z,Pitbull - Hotel Room Service,I love you,USJAY0900063,-1.28571428571429,15441064.0,123,"['2009-10-23T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2009-11-03T00:00:00.000Z', '2009-09-04T00:00:00.000Z', '2011-06-10T00:00:00.000Z', '2015-09-04T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2009-12-08T00:00:00.000Z', '2010-04-09T00:00:00.000Z', '2014-08-29T00:00:00.000Z', '2009-11-02T00:00:00.000Z', '2009-10-02T00:00:00.000Z', '2009-08-28T00:00:00.000Z', '2009-08-27T00:00:00.000Z', '2009-11-30T00:00:00.000Z', '2011-06-17T00:00:00.000Z', '2014-03-21T00:00:00.000Z', '2010-04-09T00:00:00.000Z', '2009-11-06T00:00:00.000Z', '2010-03-09T00:00:00.000Z', '2010-12-17T00:00:00.000Z', '2009-10-23T00:00:00.000Z', '2012-05-25T00:00:00.000Z', '2009-11-23T00:00:00.000Z', '2011-05-09T00:00:00.000Z', '2009-08-13T00:00:00.000Z', '2012-11-16T00:00:00.000Z', '2009-06-11T00:00:00.000Z', '2009-10-23T00:00:00.000Z', '2012-03-23T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2012-11-19T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2009-01-01T00:00:00.000Z', '2011-06-27T00:00:00.000Z', '2009-01-01T00:00:00.000Z']",,,,-0.28571428571428603
1724,25,2020-07-05T00:00:00.000Z,GOOBA,6ix9ine ,QZA742002191,-0.28571428571428603,29355561.0,40,"['2020-05-08T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-11T00:00:00.000Z']",,,,0.857142857142857
1725,26,2020-07-05T00:00:00.000Z,4K,El Alfa & Darell & Noriel,USCGJ2004694,0.14285714285714302,28727372.0,88,['2020-03-12T00:00:00.000Z'],,,,6.857142857142861
1726,27,2020-07-05T00:00:00.000Z,Психушка,🎀КАРНАВАЛ🎀,QM6N22097753,-0.857142857142857,29827208.0,47,['2020-06-17T00:00:00.000Z'],,,,-0.857142857142857
1728,29,2020-07-05T00:00:00.000Z,Toosie Slide,Drake,USUG12001281,0.5714285714285711,28904803.0,101,"['2020-04-03T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-01T00:00:00.000Z']",3380.0,43492894.0,51102091.0,0.5714285714285711
1729,30,2020-07-05T00:00:00.000Z,Yo Perreo Sola,Bad Bunny,QM4TX2030934,1.28571428571429,28621794.0,45,['2020-02-28T00:00:00.000Z'],214945.0,17605395.0,27182805.0,1.28571428571429
1730,31,2020-07-05T00:00:00.000Z,#WIPEITDOWN,BMW KENNY,QZL382006538,2.71428571428571,29345768.0,84,"['2020-04-27T00:00:00.000Z', '2020-07-31T00:00:00.000Z']",3674302.0,3.0,1935.0,4.142857142857141
1732,33,2020-07-05T00:00:00.000Z,Spaz,Mr. 2-17 & DRIPPY PRODUCTIONS,TCAER2004882,-1.28571428571429,29622255.0,41,"['2020-02-14T00:00:00.000Z', '2020-04-06T00:00:00.000Z']",,,,-1.14285714285714
1733,34,2020-07-05T00:00:00.000Z,Woah,Krypto9095,QZDA41998629,-1.28571428571429,22809467.0,215,"['2019-03-29T00:00:00.000Z', '2019-03-29T00:00:00.000Z']",1458508.0,7820.0,15677.0,3.4285714285714306
1734,35,2020-07-05T00:00:00.000Z,Lose Control,Meduza,DEUM71905792,1.42857142857143,25866511.0,115,"['2019-10-11T00:00:00.000Z', '2019-09-27T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2019-12-20T00:00:00.000Z', '2019-12-06T00:00:00.000Z', '2019-11-29T00:00:00.000Z', '2019-11-22T00:00:00.000Z', '2020-01-17T00:00:00.000Z', '2020-02-14T00:00:00.000Z', '2020-03-13T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-06-05T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-07T00:00:00.000Z', '2020-08-12T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-14T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-08-31T00:00:00.000Z', '2020-08-31T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-08T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-21T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-30T00:00:00.000Z', '2020-09-30T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-07T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-21T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-09T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-12-03T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-10T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-25T00:00:00.000Z', '2020-12-29T00:00:00.000Z', '2020-12-30T00:00:00.000Z', '2020-12-30T00:00:00.000Z']",1395408.0,142993.0,344118.0,1.42857142857143
1736,37,2020-07-05T00:00:00.000Z,Play Date,Melanie Martinez,USAT21502465,1.7142857142857097,15090401.0,95,"['2015-08-14T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-08-06T00:00:00.000Z', '2020-08-28T00:00:00.000Z', '2020-09-04T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-10-05T00:00:00.000Z', '2020-10-05T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-11-07T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z', '2020-12-19T00:00:00.000Z']",4397.0,5612074.0,8562510.0,7.28571428571429
1738,39,2020-07-05T00:00:00.000Z,Vai Ter Que Aguentar,MC Don Juan,BXG6R2000446,-1.14285714285714,29345235.0,78,['2020-05-08T00:00:00.000Z'],298917.0,2820345.0,3542166.0,6.0
1739,40,2020-07-05T00:00:00.000Z,HAHA,lil darkie,QM42K1976980,1.57142857142857,26235905.0,94,['2019-10-12T00:00:00.000Z'],1450494.0,14058.0,243748.0,1.57142857142857
1740,41,2020-07-05T00:00:00.000Z,Поболело и прошло,HENSY,SMRUS0063989,1.7142857142857097,29583312.0,63,"['2020-05-26T00:00:00.000Z', '2020-07-13T00:00:00.000Z']",1698368.0,763.0,94504.0,19.0
1741,42,2020-07-05T00:00:00.000Z,Singapur,El Alfa & Chael Produciendo,USDY42003198,2.28571428571429,29440404.0,74,['2020-05-15T00:00:00.000Z'],,,,19.1428571428571
1742,43,2020-07-05T00:00:00.000Z,Marry Me (feat. Toya Wright),Rasheeda,TCABH1210414,-2.0,14239911.0,43,['2012-06-18T00:00:00.000Z'],316692.0,89038.0,108097.0,-2.0
1743,44,2020-07-05T00:00:00.000Z,Yana Yana,Veysel Mutlu,FR2X42038412,,29104160.0,71,"['2020-04-17T00:00:00.000Z', '2020-04-17T00:00:00.000Z']",632075.0,62326.0,107282.0,
1744,45,2020-07-05T00:00:00.000Z,Rags2Riches (feat. ATR Son Son),Rod Wave,USLD91725576,15.285714285714299,28915328.0,85,['2020-04-03T00:00:00.000Z'],1009958.0,217317.0,1381582.0,15.285714285714299
1745,46,2020-07-05T00:00:00.000Z,La Jeepeta,Nio Garcia & Brray & JuanKa,QM6MZ2057011,,29185655.0,86,"['2020-04-24T00:00:00.000Z', '2020-07-24T00:00:00.000Z']",,,,13.285714285714299
1746,47,2020-07-05T00:00:00.000Z,Frikitona,DJ Ofreck,QZGLM2052477,15.5714285714286,29169736.0,81,['2019-05-17T00:00:00.000Z'],1648120.0,74.0,507.0,15.5714285714286
1747,48,2020-07-05T00:00:00.000Z,The Name Game,Lana Banana,UKDNQ1527065,,17782149.0,39,"['2017-10-30T00:00:00.000Z', '2019-01-21T00:00:00.000Z', '2019-02-18T00:00:00.000Z', '2019-02-18T00:00:00.000Z', '2019-01-03T00:00:00.000Z', '2019-01-03T00:00:00.000Z']",792331.0,168.0,208.0,
1748,49,2020-07-05T00:00:00.000Z,Savage Love (Laxed - Siren Beat),Jason Derulo,USSM12003798,1.14285714285714,29751924.0,89,"['2020-06-11T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-13T00:00:00.000Z', '2020-12-17T00:00:00.000Z']",3502.0,7277902.0,8505472.0,13.857142857142902
1749,50,2020-07-05T00:00:00.000Z,Jhir Mir Nena Neer,Balli Mohanwadi,INN241807968,,29668942.0,91,['2018-09-11T00:00:00.000Z'],3956286.0,87.0,95.0,
1750,51,2020-07-05T00:00:00.000Z,Geek'd (feat. Lil Baby),bhadbhabie,USAT21811092,0.42857142857142894,20581443.0,36,['2018-09-18T00:00:00.000Z'],,,,0.42857142857142894
1751,52,2020-07-05T00:00:00.000Z,Gimme Love,Joji,ZZOPM2002154,34.0,29086384.0,105,"['2020-04-16T00:00:00.000Z', '2020-04-16T00:00:00.000Z', '2020-04-10T00:00:00.000Z', '2020-09-24T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z']",711146.0,2042655.0,3678022.0,34.0
1752,53,2020-07-05T00:00:00.000Z,You,Jazmin Sisters,USUYG1038081,,15956522.0,95,['2013-11-11T00:00:00.000Z'],195128.0,2410.0,3323.0,-2.42857142857143
1755,56,2020-07-05T00:00:00.000Z,Then Leave,BeatKing,USSM12004021,,29878546.0,5,['2020-03-27T00:00:00.000Z'],200869.0,14309.0,25279.0,2.0
1756,57,2020-07-05T00:00:00.000Z,Stunnin' (feat. Harm Franklin),Curtis Waters 🇳🇵,QZES82074435,1.0,29465238.0,77,"['2020-05-19T00:00:00.000Z', '2020-05-19T00:00:00.000Z', '2020-10-09T00:00:00.000Z']",,,,16.571428571428598
1757,58,2020-07-05T00:00:00.000Z,Watermelon Sugar,HSHQ,USSM11912587,1.14285714285714,27222889.0,97,"['2019-11-17T00:00:00.000Z', '2019-11-17T00:00:00.000Z', '2019-12-06T00:00:00.000Z', '2019-12-13T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-12-17T00:00:00.000Z']",,,,1.14285714285714
1758,59,2020-07-05T00:00:00.000Z,Coffee for Your Head,Vinyll,QZFYZ2047397,0.0,28696807.0,180,['2020-01-28T00:00:00.000Z'],3571518.0,21.0,1107.0,7.571428571428571
